wine_key,name,cost,vintage,single_estate,alcohol,composition_id,type_id,note,bottle_size,sugar,acidity,ph,vegan,organic,producer_id,region_id,subregion_id,locale_id,appellation_id,maturation_id,vinification_id,,,vendor_sku,quantity
frp-nv-c67-cl-pt-do-ci,Fine Ruby Porto,9.36,NV,FALSE,20,67,10,"Vibrant nose, full of young and fruity aromas. In the mouth it is firm, smooth and balance, revealing great freshness and strength.",75,,,,FALSE,FALSE,1,1,1,,1,,,,,POCFR,15
pcdrr-12-c21-sahi-fr-rh,Prestige Côtes du Rhône Rouge,6.61,2012,FALSE,13.5,21,1,"Plum and cranberries on the nose with soft spices developing. Great intensity of flavour in the mouth, with the soft tannins and medium acidity balancing the red fruit and subtle spice well. Would work well on its own, but also with cured ham or slow roasted lamb.",75,,,,FALSE,FALSE,17,17,,,16,,,,,FRLAR,15
gdg-13-c22-ilpo-it-pi-ga,Gavi di Gavi,11.52,2013,TRUE,12.5,22,6,"Wonderful mineral and lime nose. Freshly cut green apples, limestone and lemons give a really “zing” to this wine which is complimented by the very crisp acidity. Hand produced by a winemaking mother, clearly making wines she loves.",75,,,,FALSE,FALSE,18,7,13,,17,,,,,ITIPG,15
nr-13-c23-losi-fr-al-ri,Nature'S Riesling ,13.34,2013,TRUE,12.5,23,6,"Lime blossom and lanolin waxy aromas, followed by incredible citrus fruit and steely acidity on the palate. A dry, rich, lime and complex stoney finish",75,,,,FALSE,TRUE,19,18,29,,18,,,,,FRLSR,15
c-12-c16-dovi-fr-bu-ch,Chablis,13.25,2012,FALSE,12.5,16,6,"Attractive pale straw colour with typical crisp, citrus flavours which burst on the taste buds and long, mouth-filling fruit flavours which linger. Must be only slightly chilled so as not to hide the flavours. Ideal with all seafood and shellfish dishes and, surprisingly, soft cheeses.",75,,,,FALSE,FALSE,20,13,14,,19,13,7,,,FRMC,15
ta5p-04-c24-grde-hu-to-50,Tokaji Aszú 5 Puttonyos,28.21,2004,TRUE,11,24,8,"Rich golden colour, caramel and apricot perfume, intense sweetness that is well balanced by marmalade, peach and floral flavours. Long, complex length",50,,,,FALSE,TRUE,21,19,,,20,,,,,HUTA5,15
3m-13-c25-ca-ar-me-ri,34 Malbec,6.68,2013,FALSE,13.5,25,1,"Great plum and cranberry perfume with some good spice and leafy secondary characters. Soft but plentiful tannins work well with the acidity and depth of fruit flavour on the palate, making the wine very drinkable, with or without food",75,,,,FALSE,FALSE,22,20,16,,,,,,,AWL34M,15
cvbgc-08-c26-palo-fr-ch-bo,Cuvée Vincent Bouzy Grand Cru ,43.6,2008,TRUE,12,26,7,"Incredibly intense champagne, showing true winemaking skill and class. Hazel nuts, sweet brioche, and fresh lemon peel on the nose, which continue onto the bold palate. Rich nutty flavours and a creamy lemon flavour work superbly with the tiny energetic bubbles. Very long dry finish with green apple and toast notes typify this classic blanc de blanc cuvée.",75,,,,FALSE,FALSE,23,4,17,,3,,,,,CHPLMV,15
gr-12-c27-domo-fr-bu-ct,Gevrey-Chambertin Rouge,30.67,2012,FALSE,13,27,3,"Typical truffle, cranberry and plum aromas, good depth of flavour with fine tannins and high acidity. Classic Burgundy, delicious and elegant.",75,,,,FALSE,FALSE,13,13,8,1,21,,,,,FRMGC,15
bd-13-c7-go-it-pi-as,Barbera d'Asti,6,2013,FALSE,13,7,2,"Red cherry nose, high acidity and white pepper spice all help together with soft dusty tannins and very balanced moderate alcohol. A classic expression of the pure fruity barbera grape",75,,,,FALSE,FALSE,24,7,18,2,22,,,,,ITBDA,15
sb-10-c19-sesi-za-co-st,Sauvignon Blanc,7.09,2010,TRUE,12.5,19,6,"Great crisp lemon and lime aromas, with cut grass and fresh passion fruit flavours on the palate. Dry, tropical finish, very elegant and classic of sauvignon blanc",75,,,,FALSE,FALSE,25,14,9,4,,,,,,SASSSB,15
rsm-03-c28-ca-it-fr-co,Ronco San Michele,19.49,2003,TRUE,14.5,28,5,"Award winning, traditionally aged Pinot Grigio! This has been aged in barrel and bottle and is much more akin to a great white burgundy. Wonderful almond and lemon aromas on the nose, with a rich vanilla and citrus palate and elegant acidity. Very long length.",75,,,,FALSE,FALSE,12,12,7,,,14,8,,,ITPGRSM,15
smv-06-c29-id-za-co-st,"Shiraz, Mourvedre, Viognier",20.36,2006,TRUE,13.5,29,1,"Deep red garnet with almost inky edges. Spicy with butterscotch and violets on the nose. Rich deep notes of blackberries, dark chocolate and black pepper on the palate. A full mouth feel with fine tannins that dissolves into a velvety, sweet and long finish. A big, bold yet balanced wine for big occasions.",75,,,,FALSE,FALSE,14,14,9,,,15,9,,,ITPGRSM,15
rbgc-nv-c30-palo-fr-ch-bo,Rosé Bouzy Grand Cru,32.94,NV,TRUE,12,30,7,"Wonderful cranberry and unripe plum flavours blend with the traditional zesty nutty champagne aromas. The fruit is clean and vibrant on the palate, with a dry elegant finish that is refreshing and full of sweet lemon flavours.",75,,,,FALSE,FALSE,23,4,17,,3,,,,,CHPLMR,15
hcdnb-12-c26-domo-fr-bu-ha,Hautes Côtes de Nuits Blanc,12.31,2012,FALSE,13,26,5,"Fantastic classic white burgundy, rich apple and lemon nose, soft vanilla hint. Baked apple and lemon rind on the palate that works well with the crisp medium acidity. Generous length.",75,,,,,,13,13,19,,23,,,,,FRMBHB,15
pcdrb-13-c31-sahi-fr-rh,Prestige Côtes du Rhône Blanc,6.72,2013,FALSE,13,31,6,"Pale golden in colour. Expressive floral and peach nose, with apricots, fresh herbs and lemon juice coming through on the medium body palate. Great with herb roasted chicken or white fish.",75,,,,,,17,17,,,16,,,,,FRLAW,15
tsb-12-c19-leba-fr-lo-to,Touraine Sauvignon Blanc,6.72,2012,FALSE,12,19,6,"Sharp lemon, grapefruit and fresh asparagus aromas on the nose. These continue on the palate, where great mineral chalk and granite like flavours join the green citrus fruit. High acidity is matched by the bone dry feeling and light refreshing body.",75,,,,,,26,21,20,,24,,,,,FRTS2011,15
v-12-c32-thau-za-br-wo,Viognier,8.53,2012,FALSE,13.5,32,5,Incredible nose! Elegant yet bold apricots and peach perfume that is a delight. The palate is dry and clean with the flavours becoming more crisp and good medium acidity. Long finish.,75,,,,,,15,15,10,5,,,,,,SAACV,15
z-10-c33-id-za-pu,Zinfandel,20.38,2010,FALSE,14.5,33,2,"A succulent and aromatic wine with waves of blueberry, rosemary, bay leaf and spice. Medium bodied with a mouth filling and long lingering aftertaste. Abundant flavours with exciting potential for food matching.",75,,,,,,14,9,,,,,,,,SAIZ,15
p-nv-c34-vado-it-ve-tr,Prosecco,9.34,NV,FALSE,11,34,7,Fresh floral nose with great lemon flavours on the palate and a gentle fizz.,75,,,,,,27,22,21,,25,,10,,,SPPROB,15
r-12-c23-grro-at-we-ro,Riesling,10.02,2012,TRUE,12.5,23,6,"Classic lime and mineral nose, with high acid, a touch of sweetness and incredible intensity of lime and blossom on the palate! A great Austrian white.",75,,,,,,2,2,22,,,,,,,AUWR,15
tr-12-c35-fice-es-la,Tempranillo Rosé,6.02,2012,FALSE,12.5,35,4,"Strawberry and raspberry nose with a rich dry palate, classic sunny Spanish rosé.",75,,,,,,28,6,,,,,,,,SWFCR,15
fr-12-c36-pe-us-ca-no,Friends Red,9.42,2012,FALSE,13.9,36,2,"Opulent sweet black cassis and plum on the nose, with great vanilla and mocha aromas developing. Intense rich palate, with soft tannins and great balance.",75,,,,,,29,23,23,6,,16,,,,USFR,15
ta6p-00-c24-grde-hu-to-25,Tokaji Aszú 6 Puttonyos,28.1,2000,TRUE,11,24,8,"Golden in colour with amber hints. Opulent aromas of honey, caramel, apricot jam and marmalade, all intensified on the palate with crisp acidity to balance the luscious sweetness. Incredibly long finish.",25,,,,,,21,19,,,20,,,,,HUTA6,15
v-13-c37-fice-es-la,Viura,5.96,2013,FALSE,12,37,6,"Lemon and pineapple aromas dominate the elegant nose, followed by a minerality that adds a great level of complexity and interest. On the palate the wine is crisp, dry and citrus dominated. Very easy drinking.",75,,,,,,28,6,,,,,,,,SWFCW,15
lb-13-c28-cadi-it-ve,Le Ballerine ,5.87,2013,FALSE,12,28,4,"Sweet raspberries and redcurrants on the nose and palate, crisp acidity and a dry palate make this wine very more-ish!",75,,,,,,30,24,,,,,11,,,ITLBPGB,15
n1ccdgv-05-c27-domo-fr-bu-ct,Nuits-St-Georges 1er Cru Clos des Grandes Vignes,36.92,2005,TRUE,13,27,3,"Great classic red Burgundy. Elegant plum and birch aromas, earth, redcurrants and truffle perfumes develop in the glass. Complex red fruit, pine, and spices blend well with the elegant acid and fine tannins. A great vintage which has allowed the wine to bottle age well. Drinking now. This is what top class Nuits St George should taste like.",75,,,,,,13,13,8,7,26,,,,,FRMNP,15
bgc-nv-c38-palo-fr-ch-bo,Brut Grand Cru,29.81,NV,TRUE,12,38,7,"Great brioche and lemon nose, with a creamy feel on the palate. Fine delicate and persistent bubbles, balance well with the elegant green apple, lemon and toast palate. Wonderful finish with a long length.",75,,,,,,23,4,17,,3,,,,,CHPLMGC,15
rc-11-c35-ca-es-ri-ri,Rioja Crianza,7.58,2011,TRUE,14,35,2,"The Crianza has a great fruit driven nose, with fresh plums and raspberries dominating however on the palate the typical cigar, cranberry and vanilla flavours take over, balancing well with the rounded tannins and high acidity. A modern take on a Rioja but still retaining the classic structure and flavours.",75,,,,,,31,25,24,,27,17,,,,SWCRC,15
cpc-12-c26-domo-fr-bu-ct,Chassagne-Montrachet Premier Cru,33.24,2012,TRUE,13,26,5,"Top class, premium quality chardonnay. Well made with care and attention. Fruit and oak flavours work well together on the nose, and the classic mineral steely flavours are clear. Great depth of complex flavour on the palate that rank it among the great white burgundies, from a good vintage. Wonderful apple and toast long finish.",75,,,,,,13,13,25,8,28,,,,,FRMCM,15
gvr-10-c39-pade-es-na-ba,Garnacha Vinas Rojas,7.86,2010,TRUE,14,39,2,"Burnt strawberry and rich vanilla aromas entice. Great acidity and rich tannins are balanced well with redcurrant, plum, and white pepper spices. A generous depth of flavor and long length makes this a great traditional Spanish wine with a wonderful modern twist.",75,,,,,,32,26,26,,,,,,,SWPDS,15
cs-12-c40-cabl-fr-la,Cabernet Sauvignon,5.93,2012,FALSE,13.5,40,1,"Rich blackberries and plums on the nose, a soft juicy mouth feel with great blackcurrant and raspberry flavours.",75,,,,,,33,27,,,29,,,,,FRCAZCS,15
m-13-c41-jede-fr-lo,Merlot,5.76,2013,FALSE,13.5,41,2,"Rich plum and redcurrants on the nose, with soft tannins, medium acidity and lots of juicy strawberry and raspberry flavours on the palate.",75,,,,,,34,21,,,,,,,,FRJLM,15
lrpn-09-c27-doge-nz-ma-wa,La Reserve Pinot Noir,14.22,2009,TRUE,13.5,27,2,"Deep aromas of mushrooms, undergrowth and rich spices blending well with stewed plums and sharp redcurrants. Fantastic complexity of aromas continuing onto the palate where sour cherries and savoury flavours dominate. Great acid and firm tannins.",75,,,,FALSE,FALSE,16,16,11,9,,18,12,,,NZGMPR,15
3cs-11-c40-ca-ar-me-ri,34 Cabernet Sauvignon,13.5,2011,TRUE,13.5,40,1,"A fantastic cabernet, black vibrant fruit flavours and cinnamon spice on the nose. Great flavour on the palate of blackcurrants and baked plums, balanced well with medium acidity and soft tannins.",75,,,,FALSE,FALSE,22,20,16,,,,,,,AWL34C,15
pg-12-c28-ca-it-fr-co,Pinot Grigio ,7.75,2012,TRUE,13,28,6,"Copper coloured, rich and luxurious Pinot Grigio! Intense citrus and tropical fruits on the nose and excellent refreshing acidity on the nose, well balanced by persistent ripe citrus flavours. A well made and generous pinot grigio that bucks the trend.",75,,,,FALSE,FALSE,12,12,7,,13,,,,,ITPGC2010,15
sr-12-c27-dola-fr-lo-sa,Sancerre Rouge,11.56,2012,TRUE,12.5,27,3,"Big redcurrant and white pepper aromas, cardamom, nutmeg, truffle and red plum flavours.",75,,,,,,35,21,27,10,30,,,,,FRSRED,15
or-08-c23-evvi-us-or-wi,Oregon Riesling,11.68,2008,TRUE,13,23,6,"A beautiful perfumed bouquet of pears, limes and melons; balanced well by the smooth, subtle sweetness on the palate finishing with a crisp classic acidity and lime blossom.",75,,,,,,36,28,28,11,,,,,,USER,15
v-11-c32-id-za-pu,Viognier,14.94,2011,TRUE,14,32,5,"Pale gold with green hue. A bouquet of orange, lime and peach blossoms with notes of honeyed fig. Opulent texture, rich nougat on the palate and a long lingering almond aftertaste. A wine to spend time with.",75,,,,,,14,9,,,,,,,,SAIV,15
hcdnr-12-c27-domo-fr-bu-ha,Hautes Côtes de Nuits Rouge,12.61,2012,FALSE,13,27,3,"Sour plums and redcurrants on the rich nose, followed by cranberries, white pepper and spice on the palate. Typical high acidity balances the wine well and the finish is refreshing and dangerously more-ish!",75,,,,,,13,13,19,,23,,,,,FRMBHR,15
s-10-c12-id-za-pu,Sangiovese,20.38,2010,TRUE,13.5,12,2,An elegant wine with a tantalising nose and soft and juicy mouth feel. Rich and spicy aromas of cinnamon and tobacco. Assertive and robust flavours of blackcurrant and prune with a concentrated finish.,75,,,,,,14,9,,,,,,,,SAIS,15
cpcb-12-c26-dovi-fr-bu-ch,Chablis Premier Cru Beauroy,16.08,2012,TRUE,13,26,6,"Attractively pale gold in colour. A most distinctive Chablis packed with lots of citrus, green apple and pear flavours which linger in the mouth. An interesting mix of buttery smoothness with a mineral character. Lightly chilled it makes the perfect accompaniment to seafood of any kind as well as white meat dishes.",75,,,,,,20,13,14,12,31,,,,,FRMCPC,15
opg-11-c42-evvi-us-or-wi,Oregon Pinot Gris,11.68,2011,TRUE,12.5,42,6,"This classic Oregon-style Pinot Gris with notes of apple, pear, and melon and hints of citrus is bright and crisp with a silky mouth feel. Its pleasing texture gives the impression of layering.",75,,,,,,36,28,28,11,,,,,,USEPG,15
th-11-c43-grde-hu-to,Tokaji Hárslevelű,10.3,2011,TRUE,12,43,5,"Pale lemon colour, mineral and vanilla nose, developing into rich spicy and flinty flavours on the off dry palate.",75,,,,,,21,19,,,20,,,,,HUHA,15
tf-11-c44-grde-hu-to,Tokaji Furmint,11.69,2011,TRUE,13,44,5,"Classic spice and citrus fruit, high acidity and a complex palate with oak flavours, lemon, orange blossom and exotic spice.",75,,,,,,21,19,,,20,,,,,HUFU,15
tml-11-c45-grde-hu-to,Tokaji Muscat Lunel,11.38,2011,TRUE,12,45,6,"Floral and fresh orange nose, light dry style with intense floral and passion fruit flavours, a delight!",75,,,,,,21,19,,,20,,,,,HUML,15
cs-08-c40-pe-us-ca-no,Cabernet Sauvignon,8.9,2008,TRUE,14,40,1,"Rich aromas of ripe raspberry and cherry highlight this full flavoured Cabernet Sauvignon. The wine is highlighted by bright acidity, in just the right amount to showcase the fruit. Plum, toasted oak notes and warm clove spice combine to round out the flavors. Framed by firm tannins and a lasting finish.",75,,,,,,29,23,23,6,,,,,,USPCS,15
sb-13-c19-pe-us-ca-no,Sauvignon Blanc,7.45,2013,FALSE,13,19,6,"romatic with citrus and herbaceous notes. This wine is crisp, and offers many layers of flavour on the palate. Honeydew melon, grapefruit and tart apple flavours linger with a balanced acidity that adds a refreshing quality.",75,,,,,,29,23,23,6,,,,,,USPSB,15
hbdb-09-c26-blvi-en-ea,Hindleap Blanc de Blanc,24.19,2009,TRUE,12,26,7,"Chardonnay grape, this elegant sparkling wine has subtle brioche on the nose with a fresh citrus palate and a toasty finish.",75,,,,,,37,29,,,,19,,,,SPBBB,15
hrb-09-c46-blvi-en-ea,Hindleap Rosé Brut ,24.99,2009,TRUE,12,46,7,"This elegant sparkling rosé tenderly crafted from the Pinot Noir, Pinot Meunier and Chardonnay varieties to reflect a crisp fresh fruitiness, lending hints of red berries on the nose and a succulent citrus palate.",75,,,,,,37,29,,,,19,,,,SPBR,15
hcc-09-c47-blvi-en-ea,Hindleap Classic Cuvee,20.28,2009,TRUE,12,47,7,"Traditional champagne blend of Pinot Noir, Pinot Menier, and Chardonnay, this wine has been carefully blended to produce an elegant sparkling wine, pale gold with a delicate floral nose, some red summer fruits and a creamy texture.",75,,,,,,37,29,,,,19,,,,SPBCC,15
wsr-09-c48-wivi-en-ha,Wickham Special Reserve,15.58,2009,TRUE,11,48,2,Full bodied from Rondo and Pinot Noir. The wine is aged in old French oak for approximately 12 months adding a beautiful rich berry fruit character with balanced oak flavours and a smooth velvety finish.,75,,,,FALSE,FALSE,3,3,,,,,,,,SSUKWR,15
c-12-c26-pe-us-ca-no,Chardonnay,8.1,2012,FALSE,14,26,5,"Melon and baked apple nose, with great tropical fruit developing on the buttery palate. Vanilla and melon linger on the crisp finish.",75,,,,,,29,23,23,6,,,,,,USPC,15
rkgcsgn-06-c23-losi-fr-al-ri,Riesling Kirchberg Grand Cru Selection Grains Nobles,58.07,2006,TRUE,13,23,6,"Intense lime, petrol and chalk. Riesling at its lucious best, with great balancing acidity.",75,,,,FALSE,TRUE,19,18,29,13,32,,,,,FRLSRKGN,15
3csr-10-c49-ca-ar-me-ri,34 Cabernet Sauvignon/Merlot Rose,6.54,2010,FALSE,13,49,4,"Great strawberry and raspberry nose, with ripe fruit flavours on the palate. An easy summer drink.",75,,,,FALSE,FALSE,22,20,16,,,,,,,AWL34R,15
rr-08-c35-ca-es-ri-ri,Rioja Reserva,9.88,2008,TRUE,14,35,2,"The reserve is an elegant and complex wine. There are aromas of redcurrants, plums, bitter vanilla and black truffles which continue on the palate and are supported well by large soft tannins and crisp acidity. There is a long appetisingly sour cranberry and tobacco finish.",75,,,,,,31,25,24,,27,,,,,SWCRR,15
m-12-c26-doma-fr-bu-ct,Meursault,28.54,2012,TRUE,13,26,5,"Baked apple and vanilla on the nose, rich sweet lemons and limes coming through on the palate, all balanced well by careful oak flavours that deepen the overall flavours and lengthen the wines finish. A good minerality also comes through as the wine develops in the glass. A very elegant yet rich wine.",75,,,,,,38,13,25,14,33,,,,,FRMM,15
bb-07-c50-id-za-co-st,Bordeaux Blend,20.36,2007,TRUE,15,50,1,"A full bodied blend of Cabernet Sauvignon, Merlot and Cabernet Franc. It is very expressive on the nose with sour blueberry and cherry aromas competing well with blackcurrant leaf and soft smoke. On the palate there are good firm tannins with lots of restrained red and black fruit with hints of vanilla, spice and dark roasted coffee.",75,,,,FALSE,FALSE,14,14,9,,,19,,,,SAIBB,15
gmpn-10-c27-doge-nz-ma-wa,Golden Mile Pinot Noir,12.34,2010,TRUE,13,27,3,"Spicy nose with cardamom, cinnamon and sour red fruits continuing from the nose to palate, very well balanced acidity to intensity. Neat tannins.",75,,,,,,16,16,11,9,,20,12,,,NZGMP,15
sfr-13-c51-doge-nz-ma-wa,Summer Folly Rosé,9.11,2013,TRUE,12,51,4,"Elegant raspberries and cranberries on the nose, with intense redcurrants coming through on the palate; which is dry with crisp acidity giving the wine a great refreshing feel.",75,,,,,,16,16,11,9,,,,,,NZGMSF,15
c-12-c26-cabl-fr-la,Chardonnay,5.99,2012,FALSE,13.5,26,6,"Crisp green apple unoaked chardonnay, with great acidity and lemon flavours on the palate.",75,,,,,,33,27,,,29,,,,,FRCAZC,15
ng-12-c52-losi-fr-al-ri,Nature'S Gewürztraminer ,15.22,2012,TRUE,13,52,8,"Highly aromatic with Turkish delight, rose water, sweet spices, and lychees on the nose and palate. Medium acidity and a little sweetness balance this overload of flavour well, making it a very opulent enjoyable wine.",75,,,,FALSE,TRUE,19,18,29,,18,,,,,FRLSG,15
